artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode_Major,mode_Minor,season,genre,num_followers
2.0,4637.0,38.0,674072710.0,63.0,79.0,89.0,11.0,16.0,98.0,4.0,0.9,0.4,0.59,0.0,0.0,0.1,0.29,0.0,1.0,Fall,pop,12483564.0
1.0,31358.0,43.0,1755214421.0,196.0,2.0,36.0,5.0,0.0,173.0,3.0,0.43,0.28,0.66,0.0,0.0,0.23,0.03,1.0,0.0,Winter,pop,435.0
1.0,3818.0,23.0,404562836.0,37.0,55.0,32.0,0.0,272.0,90.0,11.0,0.64,0.1,0.62,0.07,0.0,0.48,0.07,1.0,0.0,Fall,pop,92584265.0
1.0,3506.0,56.0,373199958.0,105.0,64.0,169.0,8.0,529.0,198.0,2.0,0.59,0.71,0.42,0.55,0.0,0.1,0.07,0.0,1.0,Winter,afrobeats,364338.0
1.0,410.0,36.0,14780425.0,36.0,32.0,31.0,1.0,26.0,140.0,4.0,0.56,0.48,0.73,0.0,0.0,0.35,0.04,1.0,0.0,Summer,dfw rap,42692662.0
1.0,148.0,24.0,39578178.0,32.0,93.0,8.0,2.0,5.0,82.0,11.0,0.51,0.22,0.53,0.01,0.0,0.15,0.03,1.0,0.0,Summer,pop,92584265.0
2.0,1004.0,35.0,54266102.0,42.0,80.0,58.0,3.0,169.0,130.0,4.0,0.77,0.84,0.89,0.17,0.0,0.43,0.05,0.0,1.0,Summer,pop,12483564.0
1.0,22543.0,63.0,2557975762.0,386.0,144.0,707.0,28.0,-1.0,81.0,3.0,0.76,0.53,0.53,0.44,0.0,0.09,0.09,1.0,0.0,Summer,gauze pop,3935828.0
1.0,4511.0,36.0,751134527.0,70.0,58.0,109.0,18.0,230.0,94.0,4.0,0.51,0.14,0.59,0.65,0.18,0.25,0.03,0.0,1.0,Summer,modern indie pop,3392820.0
1.0,16413.0,61.0,2282771485.0,166.0,87.0,36.0,1.0,-1.0,124.0,2.0,0.61,0.41,0.81,0.05,0.02,0.1,0.03,1.0,0.0,Spring,modern alternative rock,14268534.0
2.0,8506.0,45.0,1356565093.0,94.0,65.0,164.0,14.0,176.0,128.0,5.0,0.62,0.55,0.78,0.01,0.03,0.23,0.04,1.0,0.0,Summer,pop,12483564.0
1.0,33898.0,62.0,1592909789.0,233.0,0.0,36.0,9.0,0.0,138.0,8.0,0.49,0.42,0.62,0.09,0.0,0.11,0.03,0.0,1.0,Winter,permanent wave,48074532.0
1.0,3246.0,23.0,635412045.0,94.0,85.0,68.0,1.0,84.0,132.0,7.0,0.58,0.27,0.48,0.5,0.0,0.12,0.03,1.0,0.0,Summer,bedroom pop,1934550.0
2.0,8576.0,42.0,1230675890.0,216.0,108.0,331.0,26.0,154.0,131.0,5.0,0.71,0.24,0.47,0.01,0.0,0.27,0.09,1.0,0.0,Fall,pop,12483564.0
2.0,3618.0,38.0,585695368.0,47.0,74.0,80.0,14.0,194.0,168.0,9.0,0.78,0.58,0.73,0.05,0.0,0.1,0.07,0.0,1.0,Winter,pop,12483564.0
1.0,370.0,20.0,43857627.0,12.0,16.0,18.0,4.0,93.0,98.0,4.0,0.68,0.4,0.79,0.33,0.0,0.3,0.06,1.0,0.0,Summer,pop argentino,5225210.0
1.0,31123.0,55.0,2009094673.0,300.0,65.0,36.0,1.0,0.0,102.0,4.0,0.48,0.5,0.73,0.43,0.0,0.15,0.04,1.0,0.0,Winter,folk-pop,2932897.0
2.0,2790.0,30.0,600976848.0,60.0,96.0,71.0,0.0,115.0,101.0,2.0,0.34,0.32,0.57,0.78,0.0,0.2,0.03,1.0,0.0,Spring,pop,12483564.0
2.0,267.0,9.0,39709092.0,9.0,6.0,25.0,2.0,72.0,130.0,8.0,0.63,0.36,0.34,0.76,0.0,0.35,0.09,1.0,0.0,Summer,pop,12483564.0
1.0,139.0,17.0,39228929.0,16.0,72.0,5.0,0.0,8.0,142.0,5.0,0.5,0.2,0.64,0.01,0.0,0.12,0.03,1.0,0.0,Summer,pop,92584265.0
2.0,17050.0,36.0,2665343922.0,492.0,99.0,798.0,31.0,0.0,170.0,4.0,0.59,0.48,0.76,0.04,0.0,0.1,0.05,1.0,0.0,Summer,pop,12483564.0
2.0,2114.0,44.0,223633238.0,80.0,75.0,110.0,11.0,323.0,124.0,11.0,0.78,0.7,0.68,0.03,0.01,0.11,0.04,0.0,1.0,Spring,pop,12483564.0
1.0,17836.0,53.0,2887241814.0,440.0,125.0,36.0,0.0,-1.0,110.0,4.0,0.5,0.45,0.41,0.75,0.0,0.11,0.03,1.0,0.0,Fall,pop,11913232.0
2.0,8870.0,43.0,1440757818.0,104.0,120.0,141.0,26.0,49.0,92.0,4.0,0.91,0.43,0.71,0.09,0.0,0.09,0.08,0.0,1.0,Spring,pop,12483564.0
1.0,6060.0,53.0,165484133.0,150.0,148.0,36.0,22.0,2.0,116.0,5.0,0.82,0.4,0.66,0.39,0.51,0.25,0.07,1.0,0.0,Summer,french pop,921947.0
2.0,641.0,50.0,58054811.0,1.0,52.0,8.0,0.0,2.0,129.0,1.0,0.63,0.84,0.82,0.7,0.08,0.09,0.07,1.0,0.0,Summer,pop,12483564.0
1.0,1446.0,12.0,157058870.0,57.0,97.0,35.0,0.0,429.0,98.0,11.0,0.71,0.67,0.6,0.19,0.0,0.12,0.03,1.0,0.0,Spring,contemporary country,9545937.0
1.0,804.0,25.0,95131998.0,29.0,76.0,24.0,0.0,162.0,172.0,4.0,0.74,0.76,0.76,0.06,0.0,0.1,0.09,0.0,1.0,Spring,alternative r&b,368505.0
2.0,1962.0,38.0,250305248.0,28.0,89.0,29.0,5.0,82.0,150.0,5.0,0.68,0.14,0.76,0.04,0.0,0.1,0.04,1.0,0.0,Spring,pop,12483564.0
1.0,4875.0,23.0,685032533.0,19.0,45.0,0.0,0.0,10.0,136.0,1.0,0.62,0.19,0.53,0.11,0.0,0.06,0.04,0.0,1.0,Fall,pop,92584265.0
1.0,31.0,39.0,38411956.0,2.0,107.0,8.0,0.0,0.0,88.0,4.0,0.53,0.34,0.47,0.09,0.0,0.83,0.04,0.0,1.0,Summer,k-pop,11174072.0
2.0,2175.0,23.0,144565150.0,69.0,145.0,69.0,2.0,478.0,143.0,6.0,0.83,0.69,0.44,0.15,0.0,0.1,0.33,1.0,0.0,Spring,pop,12483564.0
1.0,2000.0,46.0,127567540.0,49.0,105.0,63.0,1.0,0.0,100.0,9.0,0.49,0.17,0.35,0.71,0.09,0.11,0.03,0.0,1.0,Spring,art pop,29649472.0
1.0,2839.0,25.0,399686758.0,58.0,156.0,42.0,1.0,236.0,143.0,8.0,0.56,0.39,0.55,0.14,0.0,0.11,0.13,1.0,0.0,Winter,pop,15719257.0
1.0,20333.0,52.0,983637508.0,89.0,143.0,36.0,3.0,200.0,112.0,4.0,0.56,0.24,0.66,0.07,0.0,0.12,0.03,0.0,1.0,Winter,art pop,29649472.0
1.0,674.0,47.0,118482347.0,20.0,106.0,25.0,4.0,78.0,93.0,10.0,0.62,0.57,0.59,0.03,0.0,0.38,0.03,1.0,0.0,Summer,k-pop,70986309.0
1.0,8448.0,23.0,882831184.0,160.0,110.0,163.0,0.0,5.0,206.0,10.0,0.43,0.5,0.55,0.5,0.0,0.15,0.1,1.0,0.0,Winter,pop,92584265.0
3.0,2110.0,58.0,286400165.0,17.0,119.0,19.0,2.0,266.0,88.0,10.0,0.68,0.17,0.71,0.15,0.0,0.11,0.05,0.0,1.0,Winter,pop,12483564.0
1.0,2528.0,39.0,172825906.0,56.0,91.0,59.0,3.0,486.0,170.0,5.0,0.5,0.37,0.9,0.0,0.0,0.12,0.05,1.0,0.0,Spring,dfw rap,42692662.0
1.0,12985.0,61.0,1241559043.0,49.0,98.0,36.0,5.0,204.0,84.0,7.0,0.62,0.24,0.67,0.21,0.0,0.13,0.28,0.0,1.0,Winter,detroit hip hop,78441713.0
1.0,77.0,35.0,29562220.0,8.0,166.0,4.0,4.0,34.0,134.0,7.0,0.81,0.53,0.72,0.51,0.0,0.12,0.05,0.0,1.0,Summer,k-pop,6084241.0
1.0,266.0,27.0,77309611.0,6.0,40.0,6.0,6.0,202.0,158.0,2.0,0.54,0.5,0.4,0.61,0.0,0.1,0.06,1.0,0.0,Spring,corrido,8797974.0
3.0,21097.0,52.0,1605224506.0,384.0,135.0,36.0,37.0,312.0,116.0,4.0,0.8,0.92,0.8,0.04,0.0,0.1,0.03,1.0,0.0,Fall,pop,12483564.0
1.0,3423.0,21.0,1116995633.0,41.0,100.0,59.0,1.0,32.0,117.0,4.0,0.61,0.45,0.69,0.02,0.0,0.09,0.03,1.0,0.0,Spring,alt z,3166420.0
1.0,4198.0,44.0,838079900.0,98.0,108.0,327.0,17.0,153.0,114.0,8.0,0.77,0.65,0.72,0.02,0.0,0.07,0.05,0.0,1.0,Spring,modern rock,51049147.0
1.0,14739.0,43.0,1163620694.0,88.0,112.0,36.0,5.0,519.0,108.0,5.0,0.61,0.47,0.68,0.0,0.0,0.13,0.03,0.0,1.0,Winter,british soul,52532812.0
2.0,26792.0,32.0,1093605526.0,69.0,113.0,695.0,0.0,458.0,144.0,7.0,0.74,0.37,0.53,0.07,0.0,0.21,0.1,0.0,1.0,Winter,pop,12483564.0
1.0,213.0,6.0,179659294.0,7.0,6.0,0.0,0.0,48.0,130.0,8.0,0.51,0.18,0.44,0.76,0.0,0.11,0.03,1.0,0.0,Winter,indonesian pop,726545.0
2.0,58.0,18.0,39058561.0,2.0,106.0,4.0,2.0,184.0,116.0,3.0,0.77,0.79,0.62,0.33,0.01,0.15,0.03,1.0,0.0,Summer,pop,12483564.0
