in_spotify_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,season,genre,num_followers
20,93,6.0,1,84,96,79,43,0,18,11,Winter,pop,12483564.0
32,105,6.0,1,65,46,53,16,0,9,5,Winter,canadian hip hop,6131276.0
6,170,8.0,0,44,27,32,89,0,14,5,Summer,viral pop,9084796.0
1,178,1.0,1,62,56,66,18,0,12,5,Spring,pop,12483564.0
0,176,6.0,1,50,44,76,10,0,32,5,Spring,pop,115378209.0
13,104,4.0,1,80,38,88,11,0,11,5,Spring,pop,12483564.0
12,85,7.0,0,70,83,84,31,0,47,30,Spring,k-rap,13252093.0
4,117,6.0,1,77,69,58,39,0,26,5,Spring,pop,12483564.0
35,80,-1.0,0,52,57,48,86,0,15,39,Winter,reggaeton,41562822.0
3,98,5.0,0,44,36,41,50,0,38,5,Spring,indie poptimism,3091457.0
33,178,1.0,1,79,58,78,34,0,11,25,Winter,pop,12483564.0
9,148,9.0,0,51,27,33,48,0,22,3,Spring,alt z,711588.0
10,120,2.0,0,77,94,66,65,0,38,3,Winter,k-pop girl group,1361649.0
15,122,4.0,1,68,38,88,1,0,8,5,Spring,chamber pop,3503988.0
2,144,5.0,0,74,75,73,42,0,9,4,Winter,sped up,40377.0
12,96,2.0,0,93,47,47,33,0,10,36,Spring,pop,12483564.0
12,137,8.0,0,77,35,88,16,0,17,9,Spring,k-pop,10535316.0
4,121,6.0,1,94,71,61,12,0,53,42,Spring,memphis hip hop,7045458.0
0,119,9.0,1,60,10,57,1,0,50,3,Spring,pop,12483564.0
6,96,2.0,0,72,40,47,71,0,13,4,Summer,pop,92584265.0
34,111,1.0,0,87,53,52,66,1,11,5,Spring,reggaeton,41562822.0
4,148,9.0,0,90,74,68,14,0,10,19,Spring,pop,12483564.0
10,182,9.0,0,57,80,59,8,0,6,5,Winter,pop,12483564.0
30,141,2.0,0,79,82,86,28,0,4,9,Fall,pop,115378209.0
6,145,4.0,1,76,80,81,19,0,6,9,Winter,pop,12483564.0
9,110,11.0,1,76,26,70,1,0,41,6,Spring,pop,12483564.0
4,134,7.0,0,70,35,41,41,0,10,3,Summer,indonesian pop,764517.0
33,130,7.0,0,92,78,62,18,0,6,10,Summer,pop,12483564.0
6,145,10.0,0,84,88,53,35,0,8,7,Fall,hip pop,14205397.0
10,130,11.0,1,69,36,90,1,10,15,4,Winter,pop,12483564.0
18,173,-1.0,0,59,69,53,12,0,23,3,Spring,musica chihuahuense,2305103.0
35,92,11.0,1,75,55,76,25,0,10,15,Fall,rap canario,3291901.0
13,105,5.0,1,56,57,87,0,1,10,4,Summer,pov: indie,3790425.0
24,175,7.0,1,59,15,64,43,90,12,10,Fall,phonk brasileiro,556253.0
4,120,7.0,1,80,33,70,22,0,9,4,Spring,pop,12483564.0
5,139,3.0,1,70,77,48,37,0,12,5,Winter,pop,12483564.0
13,132,-1.0,1,59,56,82,12,0,12,6,Spring,k-pop,6882913.0
15,114,10.0,0,32,17,74,14,0,17,3,Spring,pop,12483564.0
0,145,11.0,1,54,19,48,36,0,37,5,Spring,pop,12483564.0
17,110,-1.0,0,82,67,69,0,0,18,4,Fall,k-pop,46838691.0
30,94,8.0,0,89,61,66,17,0,36,16,Winter,pop,12483564.0
6,134,1.0,0,45,17,60,21,0,33,4,Spring,canadian contemporary r&b,74471480.0
19,120,7.0,0,62,32,76,0,0,39,4,Spring,k-pop,6882913.0
4,123,7.0,1,70,86,68,24,0,11,4,Winter,pop,12483564.0
17,131,10.0,0,77,84,71,35,0,15,4,Winter,pop,12483564.0
21,171,2.0,0,70,6,73,1,0,36,26,Winter,detroit hip hop,78441713.0
14,130,4.0,1,80,64,76,2,0,20,6,Spring,pop,12483564.0
34,94,11.0,0,82,53,67,34,0,9,8,Spring,pop,12483564.0
4,89,7.0,1,73,44,57,39,0,32,6,Spring,pop,12483564.0
9,87,5.0,1,65,71,56,4,0,15,20,Spring,colombian pop,8244846.0
3,124,11.0,1,72,79,78,55,0,15,30,Spring,pop,12483564.0
